|name        |t90     |t90_error|fluence   |fluence_error|flux_1024  |flux_1024_error|flux_64     |flux_64_error|
|GRB080714086|   5.376|    2.360|6.7648e-07|   4.0670e-08|     1.5364|         0.1767|      3.8219|       1.0611|
|GRB080714425|  40.192|    1.145|1.8139e-06|   2.0869e-08|     2.0165|         0.2050|      4.0019|       1.4479|
|GRB080714745|  59.649|   11.276|6.3330e-06|   1.4144e-07|     6.9258|         0.3875|      8.8870|       1.6061|
|GRB080715950|   7.872|    0.272|5.0402e-06|   7.9535e-08|     9.9143|         0.2190|     19.4248|       0.9456|
|GRB080717543|  36.608|    2.985|4.4599e-06|   7.6842e-08|     2.8933|         0.2268|      6.2448|       1.0783|
|GRB080719529|  16.128|   17.887|7.7533e-07|   2.9274e-08|     1.1226|         0.1635|      2.7677|       0.8253|
|GRB080723557|  58.369|    1.985|7.2230e-05|   2.5419e-07|    30.4516|         0.4913|     40.9659|       2.2423|
|GRB080723913|   0.192|    0.345|1.3352e-07|   1.3650e-08|     1.4095|         0.1272|      5.2574|       0.7021|
|GRB080723985|  42.816|    0.659|3.0792e-05|   2.0698e-07|    10.1219|         0.2771|     13.4527|       1.2446|
|GRB080724401| 379.397|    2.202|1.5691e-05|   5.0397e-08|    12.2000|         0.2902|     22.7262|       1.3117|
|GRB080725435|  25.920|    1.208|7.9853e-06|   4.4172e-08|     3.3649|         0.1682|      5.3812|       0.7678|
|GRB080725541|   0.960|    1.292|4.9216e-07|   4.3882e-08|     1.6901|         0.1291|      6.2687|       0.7758|
|GRB080727964|  89.089|    6.476|1.3298e-05|   7.9086e-08|     3.5263|         0.1787|      6.4377|       0.9176|
|GRB080730520|  17.408|    6.229|4.8707e-06|   9.8931e-08|     5.6049|         0.2235|      7.8278|       1.0340|
|GRB080730786|  13.312|    4.222|6.3460e-06|   8.3102e-08|    14.6150|         0.2252|     16.8932|       0.9395|
|GRB080802386|   0.576|    0.091|3.9772e-07|   6.8520e-09|     2.9470|         0.1740|     10.4115|       1.1162|
|GRB080803772|  26.240|    1.691|4.3867e-06|   7.4321e-08|     1.7818|         0.1134|      3.3698|       0.6657|
|GRB080804456| 521.862|    4.291|7.0091e-06|   2.9573e-08|     2.1713|         0.2065|      4.5341|       1.0738|
|GRB080804972|  24.704|    1.460|9.1294e-06|   1.0589e-07|     3.8493|         0.1647|      5.8104|       0.7637|
|GRB080805496|  29.440|    3.566|1.7520e-06|   4.7789e-08|     3.0513|         0.2261|      4.7729|       1.0689|
|GRB080805584|  65.665|   14.676|4.3788e-06|   6.4487e-08|     1.7727|         0.1748|      4.5493|       1.3232|
|GRB080806584|   2.304|    0.453|4.3135e-07|   2.4964e-08|     2.3874|         0.1587|      4.3261|       0.8270|
|GRB080806896|  75.777|    4.185|1.3277e-05|   1.9420e-07|     8.1823|         0.2089|     11.2024|       0.9419|
|GRB080807993|  19.072|    0.181|7.2988e-06|   9.0092e-08|     8.8811|         0.1770|     19.4154|       0.8177|
|GRB080808451|   4.352|    0.832|7.1043e-07|   3.9634e-08|     1.7494|         0.1357|      2.6978|       0.6928|
|GRB080808565|  17.728|    1.489|3.9656e-06|   4.2181e-08|     5.9798|         0.2216|      7.7855|       0.8655|
|GRB080808772| 210.178|    5.976|6.3069e-06|   5.2876e-08|     1.6941|         0.2189|      3.8880|       0.9712|
|GRB080809808|  28.160|    2.896|4.1354e-06|   5.4980e-08|     3.7605|         0.2750|      9.1928|       1.4150|
|GRB080810549|  75.201|    3.638|9.4398e-06|   4.8957e-08|     3.6864|         0.2417|      6.4107|       1.1851|
|GRB080812889|  15.040|    0.462|2.4547e-06|   4.1782e-08|     1.9102|         0.1728|      5.1963|       0.9533|
|GRB080815917|   0.832|    0.320|4.6871e-07|   2.7347e-08|     3.2607|         0.2060|      6.2631|       0.9671|
|GRB080816503|  64.769|    1.810|1.3301e-05|   8.2522e-08|     7.4374|         0.1822|      9.8989|       0.7550|
|GRB080816989|   4.608|    0.453|3.3023e-06|   9.2447e-08|     5.2126|         0.1274|      9.2653|       0.6171|
|GRB080817161|  60.289|    0.466|5.3250e-05|   7.3063e-08|    13.6734|         0.2368|     17.4424|       1.0415|
|GRB080817720|   4.416|    0.363|1.8183e-06|   4.1430e-08|     3.5900|         0.2119|      7.9338|       0.9219|
|GRB080818579|  59.329|    8.749|3.8035e-06|   5.8259e-08|     4.5796|         0.1906|      7.3446|       0.8512|
