# Flux Probability
 0.47 0.0008
 0.51 0.0012
 0.54 0.0010
 0.58 0.0016
 0.62 0.0012
 0.67 0.0013
 0.72 0.0012
 0.77 0.0012
 0.82 0.0013
 0.88 0.0011
 0.94 0.0016
 1.01 0.0010
 1.08 0.0016
 1.16 0.0015
 1.25 0.0019
 1.33 0.0018
 1.43 0.0017
 1.53 0.0020
 1.64 0.0028
 1.76 0.0043
 1.88 0.0082
 2.02 0.0156
 2.16 0.0300
 2.32 0.0592
 2.48 0.1082
 2.66 0.1720
 2.85 0.2580
 3.06 0.3885
 3.28 0.5291
 3.51 0.6582
 3.76 0.7363
 4.03 0.8033
 4.32 0.8488
 4.63 0.8814
 4.96 0.9090
 5.31 0.9444
 5.69 0.9504
 6.10 0.9594
 6.54 0.9652
 7.00 0.9773
 7.50 0.9846
 8.04 0.9884
 8.62 0.9901
 9.23 0.9939
 9.89 0.9974
10.60 0.9991
11.36 1.0000
12.17 1.0000
13.04 0.9989
13.97 0.9979
14.97 1.0000
