# Flux Probability
 0.09 0.0000
 0.10 0.0007
 0.11 0.0020
 0.12 0.0015
 0.13 0.0013
 0.14 0.0017
 0.15 0.0021
 0.16 0.0022
 0.17 0.0016
 0.18 0.0013
 0.19 0.0019
 0.21 0.0021
 0.22 0.0017
 0.24 0.0021
 0.25 0.0019
 0.27 0.0019
 0.29 0.0020
 0.31 0.0022
 0.34 0.0019
 0.36 0.0021
 0.38 0.0020
 0.41 0.0021
 0.44 0.0022
 0.47 0.0024
 0.51 0.0027
 0.54 0.0033
 0.58 0.0067
 0.62 0.0176
 0.67 0.0565
 0.72 0.1463
 0.77 0.2925
 0.82 0.4568
 0.88 0.6077
 0.94 0.7220
 1.01 0.7967
 1.08 0.8434
 1.16 0.8745
 1.25 0.8982
 1.33 0.9161
 1.43 0.9312
 1.53 0.9417
 1.64 0.9522
 1.76 0.9616
 1.88 0.9692
 2.02 0.9781
 2.16 0.9843
 2.32 0.9909
 2.48 0.9959
 2.66 0.9976
 2.85 0.9978
 3.06 0.9988
 3.28 0.9996
 3.51 0.9999
 3.76 0.9998
 4.03 0.9999
 4.32 0.9998
 4.63 0.9999
 4.96 0.9999
 5.31 0.9998
 5.69 0.9999
 6.10 1.0000
 6.54 0.9999
 7.00 1.0000
