# Flux Probability
 0.43 0.0011
 0.46 0.0015
 0.49 0.0014
 0.52 0.0012
 0.56 0.0020
 0.60 0.0014
 0.65 0.0014
 0.69 0.0016
 0.74 0.0017
 0.79 0.0017
 0.85 0.0017
 0.91 0.0018
 0.98 0.0019
 1.05 0.0022
 1.12 0.0024
 1.20 0.0027
 1.29 0.0030
 1.38 0.0038
 1.48 0.0053
 1.58 0.0076
 1.70 0.0131
 1.82 0.0223
 1.95 0.0399
 2.09 0.0706
 2.24 0.1167
 2.40 0.1848
 2.57 0.2700
 2.75 0.3713
 2.95 0.4900
 3.16 0.6046
 3.39 0.7022
 3.63 0.7809
 3.89 0.8389
 4.17 0.8807
 4.47 0.9098
 4.79 0.9346
 5.13 0.9550
 5.50 0.9620
 5.89 0.9727
 6.31 0.9806
 6.76 0.9859
 7.24 0.9909
 7.76 0.9935
 8.32 0.9960
 8.91 0.9983
 9.55 0.9991
10.23 0.9995
10.96 0.9993
11.75 0.9995
12.59 0.9995
13.49 0.9997
14.45 0.9997
15.49 0.9995
16.60 0.9996
17.78 0.9997
19.05 0.9997
20.42 0.9999
21.88 0.9999
23.44 0.9998
25.12 0.9999
26.92 0.9997
28.84 0.9997
30.90 0.9998
33.11 0.9999
35.48 0.9999
38.02 0.9994
40.74 0.9998
43.65 1.0000
